ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Broccoli gegart,Broccoli gegart,,22,93,"3,3","0,2","1,7","1,4","2,7",0,0,0,"0,1",0,0,"0,1","59,9",0,"0,7","0,1","0,1","0,1","0,1",0,0,0,"0,7","0,9",0,119,67,307,22,14,85,114,0,138,1105,9,254,13,562,0,127,179,412,231,32,659,369,101,50,122,0,137,161,38,111,119,98,117,30,61,162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Broccoli,0,Gemüse,Gemüse,lexolino
22,Brühwürfel,Brühwürfel,,145,605,"16,2",4,"10,3","1,1",0,0,"1,6","2,1","0,1",0,0,0,0,0,"0,1",0,"0,2","0,2",0,0,0,0,"3,5",0,0,223,37000,465,52,27250,700,204,0,646,1960,32,108,3,202,0,1202,914,718,1083,52,1407,2122,1767,408,412,0,712,857,204,541,1499,685,589,73,286,619,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Brühwürfel,0,Gewürze & Kräuter,Gewürze & Kräuter,lexolino
23,Butter,Butter,,787,3292,"0,7","83,9","0,6",0,0,0,"49,5","26,1","3,1","0,2",0,"0,7","0,2",0,"2,1","0,1",0,0,0,0,0,0,0,0,0,13,21,15,3,5,21,9,0,14,83,139,38,4,244,0,23,23,10,47,5,27,126,14,15,40,0,63,49,14,31,61,38,25,10,30,39,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Butter,Magarine,Milch & Milchprodukte,Milchprodukte,lexolino
24,Butterkäse,Butterkäse,,321,1342,"22,8","24,5",0,0,0,0,"15,3",7,"0,9","0,1",0,"0,3",0,0,"0,7",0,0,"0,3","0,1",0,0,0,"0,1","0,8",0,765,1122,83,38,736,412,197,0,118,396,127,52,34,4280,0,580,709,257,1251,83,933,4535,371,490,1085,0,1958,1579,524,1106,2578,1117,863,293,1161,1312,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Butterkäse,"Edamer,Emmentaler,Gouda,Schafskäse",Käse & Käsezubereitungen,Aufschnitt,lexolino
25,Butterschmalz,Butterschmalz,,866,3625,"0,3","92,8",0,0,0,0,"55,5","27,9","3,8","0,4",0,1,0,0,"3,7",0,0,0,0,0,0,0,0,0,0,7,26,3,1,2,1,1,0,10,200,28,5,0,187,0,8,7,5,17,2,16,52,5,6,14,0,22,18,5,12,22,13,10,3,12,16,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Butterschmalz,0,Milch & Milchprodukte,Milchprodukte,lexolino
26,Cashewmus,Cashewmus,,618,2588,"17,56","49,41","26,8",,"0,76",,"10,96","32,31","3,97",0,,0,0,0,4,0,"0,31","0,19","0,25",,"0,025","0,068",,"1,2",,43,18,546,258,15,457,200,,2190,5030,140,840,1,5160,,706,1765,,,318,,3671,,353,936,,1288,706,282,794,689,847,618,371,582,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,3,Cashewmus,Mandelmus,Nüsse & Samen,Sonstiges,http://www.ernaehrung.de/lebensmittel/de/F960800/Cashewmus-pur.php
27,Cashewnuss,Cashewnuss,,544,2277,"15,9","38,8",29,"1,6","2,9",0,"8,7","25,1","3,1",0,0,0,0,0,"0,7",0,"0,6","0,3","0,4",0,0,0,"2,2","1,2",0,29,19,569,262,13,394,200,0,3811,2604,143,840,10,2148,0,651,1763,45,1565,334,8,3531,869,336,909,0,1265,735,291,756,683,882,558,342,601,1178,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,Cashewnuss,0,Nüsse & Samen,Sonstiges,lexolino
28,Cayennepfeffer,Cayennepfeffer,,335,1402,"11,2","16,6","33,3","30,3","25,9",0,"3,1","2,9","7,7",0,0,"3,8","79,8",0,0,0,"0,3","0,9",0,0,0,0,"8,2",0,0,152,188,1913,163,27,267,104,0,856,7254,400,500,5,2430,0,662,578,795,1656,119,822,1714,504,166,371,0,576,552,185,382,428,485,327,125,238,475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Cayennepfeffer,Pfeffer,Gewürze & Kräuter,Gewürze & Kräuter,lexolino
29,Cevapcici,Cevapcici,,170,700,18,10,1,1,"0,5",,4,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Cevapcici,0,Fleisch,Fleisch & Fisch,
30,Champignon gegart,Champignon gegart,,30,120,"3,54","0,329","1,34","0,366","2,32",,"0,0549","0,00549","0,171",0,,"1,02","2,67","2,3","0,12",,"0,095","0,46","0,098",0,,22,"3,9","2,2",0,"8,28","77,6",354,"11,1","6,05",122,,0,"1,04",,,"20,9","0,558",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,Champignons,0,Gemüse,Gemüse,lexolino
