ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source,In Live Foods?,Synonyme,Originalname,ValiCheck B
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Meeräsche,Meeräsche,,113,473,"17,8","4,4",0,0,0,0,"0,9",1,"1,1",0,0,0,"0,6",0,1,0,"0,1","0,1","0,4",0,0,0,"3,8","0,3",0,51,103,432,30,69,215,214,0,8,938,359,47,317,654,0,1127,1091,34,2067,200,15,2501,782,523,1013,0,1524,1939,533,713,757,863,801,177,639,944,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Meeräsche,1
1209,Meeräsche (geräuchert),Meeräsche (geräuchert),,132,551,"22,1","4,5",0,0,0,0,1,1,"1,1",0,0,0,"0,4",0,1,0,"0,1","0,1","0,3",0,0,0,"3,2","0,2",0,62,105,314,30,77,209,279,0,8,928,388,54,401,676,0,1363,1205,1127,1988,190,1618,2853,916,533,1063,0,1535,1921,528,787,810,962,840,202,643,1054,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Meeräsche geräuchert,1
1210,Meeräsche (gesalzen),Meeräsche (gesalzen),,109,456,17,"4,3",0,0,0,0,"0,8","1,1","1,1",0,0,"0,1","0,6",0,1,0,"0,1","0,2","0,5",0,0,0,"3,7","0,3",0,88,8611,413,46,6197,261,239,0,22,1045,362,85,360,664,0,1125,980,1,1776,169,15,2778,825,457,888,0,1315,1733,499,729,640,825,863,173,575,951,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Meeräsche gesalzen,1
1211,Meeräsche (Konserve),Meeräsche (Konserve),,119,498,"19,1","4,5",0,0,0,0,"0,9","1,1","1,2",0,0,0,"0,4",0,"0,4",0,0,"0,1","0,2",0,0,0,"2,1","0,2",0,50,1339,348,26,811,200,180,0,16,800,291,43,299,561,0,1318,1145,493,1757,187,760,2709,747,461,943,0,1503,1596,536,666,659,903,875,181,624,1012,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Meeräsche Konserve,1
1212,Mehl,Mehl,,361,1511,"10,6","1,1","75,9","0,1","4,1",0,"0,1","0,1","0,5",0,0,0,0,0,"0,3",0,"0,1",0,"0,2",0,0,0,"0,7","0,2",0,15,49,113,20,2,80,106,0,170,1400,50,576,0,1132,0,282,370,72,408,218,618,3507,370,181,346,0,700,203,125,432,1220,490,262,95,265,420,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Mehl,,"Getreideprodukte, Nährmittel, Backwaren",Getreide & Backwaren,lexolino,No,,Mehl,1
1213,Mehrkornbrötchen,Mehrkornbrötchen,,238,997,6,"1,1","50,2","0,8","5,4",0,"0,2","0,2","0,5",0,0,0,0,0,"0,8",0,"0,1","0,1","0,1",0,0,0,"0,8","0,3",0,26,728,181,46,397,144,76,0,235,1941,98,1442,3,1471,0,301,270,6,445,137,28,1650,276,125,247,0,459,200,95,283,609,289,202,65,146,320,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Getreideprodukte, Nährmittel, Backwaren",,lexolino,No,,Mehrkornbrötchen,1
1214,Mehrkornflocken,Mehrkornflocken,,316,1323,"9,3","1,8","64,3","0,2",11,0,"0,3","0,2","0,8",0,0,0,0,0,"1,2",0,"0,3","0,1","0,4",0,0,0,"3,6",1,0,36,29,314,110,4,267,126,0,288,3123,120,2611,3,2215,0,414,428,8,510,154,29,2629,436,185,376,0,609,290,146,446,1071,454,330,99,286,487,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Getreideprodukte, Nährmittel, Backwaren",,lexolino,No,,Mehrkornflocken,1
1215,Mehrkornschrot,Mehrkornschrot,,300,1254,"9,9",2,"59,1","0,2","11,9",0,"0,3","0,2","0,9",0,0,0,0,0,"1,5",0,"0,4","0,2","0,4",0,0,0,"3,5","0,9",0,34,44,360,110,7,337,120,0,362,3693,113,3010,4,3052,0,450,473,5,581,192,24,2612,462,213,388,0,629,363,152,487,1164,512,344,110,291,496,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Getreideprodukte, Nährmittel, Backwaren",,lexolino,No,,Mehrkornschrot,1
1216,Mehrkornvollkornbrot,Mehrkornvollkornbrot,,209,873,"7,2","1,3","41,2","0,1",9,0,"0,2","0,2","0,6",0,0,0,0,0,"0,9",0,"0,1","0,1","0,2",0,0,0,"1,4","0,5",0,21,684,275,57,473,252,95,0,330,3077,110,2353,4,2199,0,355,316,115,502,113,394,1727,354,145,250,0,450,233,105,303,641,318,262,73,174,321,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Getreideprodukte, Nährmittel, Backwaren",,lexolino,No,,Mehrkornvollkornbrot,1
1217,Melassesirup,Melassesirup,,289,1210,"1,3",0,"69,9","16,9",0,0,0,0,0,0,0,0,0,0,0,0,"0,1","0,1",0,0,0,0,0,0,0,460,877,1338,132,99,31,66,0,426,9752,108,18,0,855,0,65,49,155,121,12,225,176,37,17,46,0,74,64,13,33,45,37,40,12,25,50,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Melassesirup,1
1218,Melde,Melde,,26,108,"2,4","0,3","3,3","2,4","2,4",0,0,0,"0,2",0,0,"0,6","34,3",0,"1,6","0,4","0,1","0,2","0,1",0,0,0,"0,6","0,2",0,105,94,420,60,106,38,22,0,100,2916,71,282,1,535,0,123,86,229,180,21,303,238,113,48,92,0,177,141,36,112,107,81,95,36,60,120,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Melde,1
1219,Melde (gegart),Melde (gegart),,23,94,"2,2","0,3","2,5","2,1","3,1",0,"0,1",0,"0,2",0,0,"0,7",20,0,"1,8","0,5","0,1","0,1","0,1",0,0,0,"0,4","0,2",0,112,112,261,53,96,37,21,0,119,2317,85,323,1,500,0,139,104,55,242,23,60,268,134,47,98,0,168,148,36,134,102,108,121,38,75,141,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Melde gegart,1
