ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source,In Live Foods?,Synonyme,Originalname,ValiCheck B
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Jabotikaba (Konserve),Jabotikaba (Konserve),,98,409,"0,4","1,5","20,1","4,7","1,7",0,"0,4","0,2","0,6",0,0,0,"4,2",0,"0,4",0,0,0,"0,1",0,0,0,"0,1","0,1",0,59,11,169,11,3,15,10,0,103,218,14,112,1,931,0,21,15,91,36,3,81,32,16,6,11,0,22,22,5,12,15,16,12,5,9,15,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jabotikaba Konserve,1
707,Jackfrucht,Jackfrucht,,73,304,"1,2","0,5","15,6","8,5","3,8",0,"0,1","0,1","0,2",0,0,0,"8,9",0,"0,5",0,0,"0,1","0,1",0,0,0,"0,6","0,4",0,28,17,399,40,2,35,13,0,172,546,21,193,1,437,0,53,36,220,94,6,253,108,43,17,32,0,56,52,10,30,36,48,35,11,20,39,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jackfrucht,1
708,Jackfrucht (getrocknet),Jackfrucht (getrocknet),,243,1015,"3,9","1,6","52,2","31,4","16,1",0,"0,4","0,3","0,6",0,0,"0,1","25,1",0,"1,5",0,"0,1","0,3","0,3",0,0,0,"1,7","1,4",0,94,67,1576,119,7,138,45,0,612,1961,77,714,7,1359,0,166,138,677,359,20,667,354,150,63,124,0,201,201,42,96,133,162,106,38,72,140,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jackfrucht getrocknet,1
709,Jackfrucht (Konserve),Jackfrucht (Konserve),,97,406,"0,9","0,4","22,1","4,5","3,9",0,"0,1","0,1","0,2",0,0,0,"2,1",0,"0,5",0,0,"0,1",0,0,0,0,"0,3","0,2",0,26,15,261,30,2,31,11,0,194,555,19,155,3,399,0,45,35,129,91,5,120,85,35,15,29,0,42,45,9,25,32,38,29,9,18,34,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jackfrucht Konserve,1
710,Jacobsmuschel,Jacobsmuschel,,80,336,"11,9",1,"5,5",0,0,0,"0,2","0,1","0,3","0,1",0,0,"0,6",0,"0,5",0,"0,1","0,2","0,1",0,0,0,"1,4","0,4",0,75,376,302,46,197,157,318,0,3636,8100,130,150,131,1980,0,556,791,543,1213,119,717,1601,561,207,460,0,754,878,278,409,471,600,531,145,496,549,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jacobsmuschel,1
711,Jacobsmuschel gesalzen,Jacobsmuschel,,75,315,"10,2",1,"6,1",0,0,0,"0,2","0,1","0,3","0,1",0,0,"0,6",0,"0,6",0,"0,1","0,2","0,1",0,0,0,"1,4","0,4",0,112,8802,305,74,6030,193,341,0,3390,7590,132,186,134,1883,0,515,818,220,997,97,314,1427,561,193,483,0,743,807,268,387,396,478,441,128,401,520,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jacobsmuschel gesalzen,1
712,Jagdwurst,Jagdwurst,,228,952,17,"16,9","0,2","0,2","0,1",0,"6,5","7,5",2,"0,1",0,0,"21,3",0,"0,3",0,"0,6","0,2","0,4",0,0,0,"2,6","0,4",0,9,962,296,22,775,133,144,0,58,847,46,94,2,1546,0,861,994,378,1550,204,598,2452,901,578,813,0,1107,1457,449,626,826,788,703,195,629,892,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jagdwurst,1
713,Jagdwurstpastete,Jagdwurstpastete,,296,1237,"16,1","21,2","7,9","0,1","1,1",0,9,"8,8",2,"0,1",0,0,0,0,"0,3",0,"0,6","0,2","0,4",0,0,0,"2,3","0,5",0,12,965,258,22,760,129,135,0,86,1066,60,113,3,1452,0,776,840,476,1503,183,840,2656,838,517,652,0,1054,1262,379,577,745,620,739,161,582,720,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jagdwurstpastete,1
714,Jambuse,Jambuse,,31,130,"0,6","0,3","6,4","4,5","3,2",0,"0,1",0,"0,1",0,0,0,"23,1",0,"0,5",0,0,0,0,0,0,0,"0,8","0,3",0,21,10,123,5,1,16,8,0,16,900,19,29,1,56,0,26,21,118,58,3,125,61,23,9,19,0,28,27,6,15,20,25,19,7,11,21,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jambuse,1
715,Jambuse (getrocknet),Jambuse (getrocknet),,212,886,"4,4",2,"43,1","32,1","19,7",0,"0,4","0,4","0,8",0,0,"0,1",129,0,3,"0,1","0,1","0,2","0,1",0,0,0,"4,6","1,6",0,128,70,782,37,6,111,57,0,105,6347,115,193,7,390,0,191,136,785,384,20,871,426,154,63,125,0,193,215,41,104,138,176,118,38,76,144,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jambuse getrocknet,1
716,Jambuse (Konserve),Jambuse (Konserve),,69,288,"0,5","0,2","15,9","2,8","2,5",0,"0,1",0,"0,1",0,0,0,"5,3",0,"0,4",0,0,0,0,0,0,0,"0,3","0,1",0,21,10,71,5,2,14,8,0,37,696,16,26,1,118,0,22,18,72,42,3,69,40,19,9,16,0,28,28,5,11,17,19,16,5,11,19,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jambuse Konserve,1
717,Japanknolle,Japanknolle,,190,796,"5,2","0,7",40,"0,4","9,8",0,"0,2",0,"0,2",0,0,"0,2","18,6",0,"0,9","0,1","0,2","0,1","0,2",0,0,0,"1,7","0,6",0,52,85,919,66,18,138,30,0,313,3309,32,322,3,1129,0,224,373,516,572,77,603,668,215,104,154,0,264,205,62,179,178,222,221,58,120,213,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Japanknolle,1
718,Jarlsberg,Jarlsberg,,357,1494,27,"26,5",0,0,0,0,"15,3","8,8",1,"0,1",0,"0,3",0,0,"0,8",0,0,"0,3","0,1",0,0,0,"0,1","0,5",0,736,972,126,42,570,546,190,0,124,404,142,44,34,4320,0,714,837,128,1555,130,472,5717,405,793,1410,0,2434,1763,669,1179,2966,1374,1062,371,1289,1699,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jarlsberg,1
719,Jerome,Jerome,,322,1346,"22,2","24,8",0,0,0,0,"15,1","7,4","0,9","0,1",0,"0,3",0,0,"0,7",0,0,"0,3","0,1",0,0,0,"0,1","0,5",0,758,1023,93,39,686,465,222,0,91,368,112,42,30,3535,0,645,764,0,1407,90,4,4891,404,613,1133,0,2265,1632,490,1227,2500,1193,959,319,1264,1548,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jerome,1
720,Jod-Salz,Jod-Salz,,0,0,0,0,0,,0,,,,,0,,0,0,0,0,,0,0,0,0,,0,0,0,,10,59800,4,1,39200,8,,,"0,3",,,2500,"0,05",-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Jod-Salz,,Gewürze & Kräuter,Gewürze & Kräuter,lexolino,Yes,,Jod-Salz,1
721,Joghurt (natur),Joghurt (natur),,34,141,"4,3","0,1","3,8",1,0,,"0,1",0,0,0,,0,"0,9",0,0,0,0,"0,2","0,1",0,0,0,"0,1","0,3",,132,116,184,12,54,100,38,,11,51,17,4,8,437,,142,136,32,313,37,76,731,86,116,277,,367,290,103,210,455,216,181,56,190,243,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Joghurt,"2540,2687",Milch & Milchprodukte,Milchprodukte,lexolino,Yes,,Joghurt (natur),1
722,rote Johannisbeeren,rote Johannisbeeren,,33,139,"1,1","0,2","6,6","6,3","7,8",0,0,0,"0,1",0,0,0,"33,1",0,"0,8",0,0,0,0,0,0,0,"0,2","0,1",0,30,14,223,14,2,30,30,0,102,981,23,262,1,223,0,54,63,122,155,10,134,171,45,27,22,0,47,27,16,33,37,47,33,10,21,37,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren rot,1
723,Roter Johannisbeerensaft,Roter Johannisbeerensaft,,101,421,"0,9","0,2","23,5","5,4",0,0,0,0,"0,1",0,0,0,"19,7",0,"0,7",0,0,0,0,0,0,0,"0,1",0,0,27,13,171,12,2,26,28,0,92,804,20,219,1,206,0,37,53,89,130,9,105,153,33,25,17,0,39,24,14,27,34,36,27,8,19,33,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren rot Fruchtsaft,1
724,rote Johannisbeeren (Konserve),rote Johannisbeeren (Konserve),,68,285,"0,7","0,1","15,8","3,1",5,0,0,0,"0,1",0,0,0,"6,9",0,"0,6",0,0,0,0,0,0,0,"0,1",0,0,24,12,121,9,2,18,19,0,106,645,22,173,3,241,0,32,41,58,101,9,64,111,30,19,15,0,30,21,13,21,28,30,23,9,14,24,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren rot Konserve,1
725,schwarze Johannisbeeren,schwarze Johannisbeeren,,51,214,"1,3","0,2","10,8","8,7","6,4",0,0,0,"0,1",0,0,0,189,0,"1,8",0,"0,1",0,"0,1",0,0,0,"0,3","0,4",0,57,15,341,17,2,43,32,0,154,1176,27,353,1,290,0,57,71,159,202,13,153,195,51,30,27,0,63,30,19,35,43,52,37,14,26,49,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren schwarz,1
726,Schwarzer Johannisbeerensaft,Schwarzer Johannisbeerensaft,,100,420,"1,1","0,1","23,3","7,4",0,0,0,0,"0,1",0,0,0,"95,9",0,"1,9",0,0,0,"0,1",0,0,0,"0,2","0,3",0,48,15,271,14,2,38,28,0,121,1120,25,325,1,294,0,47,64,106,146,10,131,181,39,28,24,0,47,26,16,34,36,42,29,11,23,35,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren schwarz Fruchtsaft,1
727,schwarze Johannisbeeren (Konserve),schwarze Johannisbeeren (Konserve),,76,318,"0,9","0,1","17,5","3,7","4,5",0,0,0,"0,1",0,0,0,"31,2",0,"1,5",0,0,0,0,0,0,0,"0,1","0,1",0,42,13,171,14,2,25,22,0,129,837,24,227,3,297,0,37,46,119,123,8,121,126,35,23,19,0,36,23,14,27,31,35,24,10,18,28,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren schwarz Konserve,1
728,weiße Johannisbeeren,weiße Johannisbeeren,,46,191,"0,8","0,2","9,9","9,2","5,7",0,0,0,"0,1",0,0,0,"36,1",0,"0,1",0,"0,1",0,0,0,0,0,"0,2","0,1",0,31,11,278,9,2,23,26,0,133,990,22,612,1,204,0,42,50,59,123,9,65,136,39,23,18,0,38,22,15,28,33,39,29,8,18,34,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren weiß,1
729,weißer Johannisbeerensaft,weißer Johannisbeerensaft,,96,400,"0,7","0,1","22,5","6,5",0,0,0,0,"0,1",0,0,0,"18,9",0,"0,1",0,"0,1",0,0,0,0,0,"0,2",0,0,26,10,202,7,2,22,22,0,128,871,20,528,1,167,0,35,39,70,110,7,78,123,27,20,14,0,35,19,11,23,26,31,21,7,15,27,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren weiß Fruchtsaft,1
730,weiße Johannisbeeren (Konserve),weiße Johannisbeeren (Konserve),,78,326,"0,6","0,1","18,3","3,7","4,6",0,0,0,"0,1",0,0,0,"6,4",0,"0,1",0,0,0,0,0,0,0,"0,1",0,0,24,10,120,6,2,17,17,0,118,705,22,376,3,208,0,25,35,57,91,6,61,96,26,15,12,0,25,14,10,17,23,26,19,6,12,23,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Johannisbeeren weiß Konserve,1
731,Jujube,Jujube,,101,421,"1,4","0,3","22,7","16,9","4,1",0,"0,1",0,"0,1",0,0,0,"55,7",0,"0,5",0,0,0,"0,1",0,0,0,"0,1","0,2",0,30,38,253,11,3,31,20,0,79,864,21,85,2,55,0,60,47,221,135,7,230,140,47,21,45,0,67,74,14,37,49,54,46,13,28,51,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jujube,1
732,Jujubesaft,Jujubesaft,,100,419,"1,4","0,2","22,7","14,8",0,0,"0,1",0,"0,1",0,0,0,"36,1",0,"0,5",0,0,0,"0,1",0,0,0,"0,1","0,2",0,38,39,248,11,3,32,21,0,75,751,21,87,2,58,0,64,47,236,112,8,285,135,47,20,44,0,72,69,15,35,46,49,37,13,29,50,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jujube Fruchtsaft,1
733,Jujube (getrocknet),Jujube (getrocknet),,270,1130,"3,4","0,8","61,2","42,8","10,7",0,"0,2","0,1","0,3",0,0,0,"124,9",0,"1,1",0,"0,1","0,1","0,2",0,0,0,"0,2","0,4",0,91,94,727,28,9,82,46,0,178,1948,54,230,5,129,0,160,132,518,329,18,555,352,122,53,100,0,175,166,37,87,134,141,99,37,69,127,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jujube getrocknet,1
734,Jujube (Konserve),Jujube (Konserve),,116,484,"1,2","0,3","26,7",10,"3,8",0,"0,1",0,"0,1",0,0,0,"13,3",0,"0,5",0,0,0,0,0,0,0,0,"0,1",0,35,34,181,10,3,24,16,0,96,707,20,70,3,102,0,54,42,197,112,6,200,114,46,19,33,0,66,62,12,32,45,52,34,14,26,38,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Jujube Konserve,1
735,Kabeljau,Kabeljau,,84,352,19,"0,8",0,0,0,0,"0,1","0,1","0,3","0,1",0,0,2,0,"0,5",0,"0,1","0,1","0,3",0,0,0,"2,1","0,3",0,17,145,339,30,72,201,235,0,246,422,26,17,175,540,0,1125,981,1215,1756,183,1556,2249,696,447,810,0,1289,1555,461,681,681,832,853,164,528,904,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljau,1
736,Kabeljau gebraten,Kabeljau,,91,383,"20,5","0,9",0,0,0,0,"0,2","0,1","0,3","0,1",0,0,"1,5",0,"0,5",0,"0,1","0,1","0,2",0,0,0,"1,8","0,2",0,20,156,309,38,81,184,262,0,237,414,31,21,138,554,0,1365,1146,472,2030,185,684,2943,794,517,1053,0,1521,1795,507,780,834,1009,877,185,677,1141,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljau gebraten,1
737,Kabeljau gegart,Kabeljau,,89,372,"19,9","0,9",0,0,0,0,"0,2","0,1","0,3","0,1",0,0,"1,5",0,"0,5",0,0,"0,1","0,2",0,0,0,"1,6","0,2",0,18,156,303,37,82,201,249,0,249,432,33,20,137,644,0,1235,1219,424,2169,213,541,2770,943,507,975,0,1441,1739,554,780,803,878,877,221,616,1001,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljau gegart,1
738,Kabeljau (geräuchert),Kabeljau (geräuchert),,87,363,"19,6","0,7",0,0,0,0,"0,1","0,1","0,3","0,1",0,0,"1,2",0,"0,4",0,0,"0,1","0,2",0,0,0,"1,6","0,2",0,17,164,258,35,84,170,236,0,225,390,32,21,177,594,0,1185,1111,1037,1687,168,1503,2445,764,476,835,0,1372,1860,510,675,640,808,866,192,568,922,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljau geräuchert,1
739,Kabeljau gesalzen,Kabeljau,,74,310,"16,6","0,7",0,0,0,0,"0,1","0,1","0,3","0,1",0,0,"1,9",0,"0,4",0,"0,1","0,1","0,2",0,0,0,"2,1","0,3",0,59,10841,352,52,6733,215,241,0,271,443,38,53,188,528,0,938,908,646,1623,150,911,2286,747,406,765,0,1131,1571,431,618,570,726,652,171,558,769,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljau gesalzen,1
740,Kabeljau (Konserve),Kabeljau (Konserve),,77,322,"17,3","0,7",0,0,0,0,"0,1","0,1","0,3","0,1",0,0,"1,3",0,"0,2",0,0,0,"0,1",0,0,0,"1,3","0,1",0,20,1361,257,33,905,165,168,0,216,345,24,19,137,415,0,1131,1091,511,1663,171,703,2290,686,473,889,0,1284,1646,415,612,664,764,749,161,521,900,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljau Konserve,1
741,Kabeljau (Konserve in Öl),Kabeljau (Konserve in Öl),,138,579,14,"8,7",0,0,0,0,"1,2","1,9","5,1",0,0,0,"1,2",0,"7,9",0,0,0,"0,1",0,0,0,1,"0,1",0,17,1297,255,27,845,143,174,0,189,332,25,17,127,366,0,1042,968,20,1419,149,41,2247,661,392,688,0,1152,1420,392,607,590,665,672,142,526,799,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljau Konserve in Öl,1
742,Kabeljaurogen,Kabeljaurogen,,124,520,"21,2","3,3","1,9",0,0,0,"0,5","0,6","0,9","0,4",0,"0,1","25,7",0,"10,6",0,"1,1","0,8","0,3",0,0,0,"1,6","2,9",0,22,218,206,15,91,437,312,0,300,618,321,39,129,1070,0,1528,1245,36,2318,236,28,3327,941,539,1028,0,1845,2015,603,916,823,1089,924,232,722,1159,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljaurogen,1
743,Kabeljaurogen gesalzen,Kabeljaurogen,,146,610,25,"3,7","2,4",0,0,0,"0,6","0,7",1,"0,4",0,"0,1","26,6",0,"11,3",0,"1,1","0,9","0,3",0,0,0,"1,6","3,3",0,38,3646,229,24,2354,522,341,0,371,683,345,53,136,1110,0,1555,1334,1394,2201,220,2062,3255,976,637,1034,0,1627,2071,589,949,827,1023,1072,224,734,1203,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Kabeljaurogen gesalzen,1
744,Kaffee,Kaffee,,2,8,"0,2",0,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7",0,0,2,1,70,6,1,2,1,0,99,184,0,85,1,10,0,6,2,20,10,4,73,37,8,4,4,0,10,2,0,6,8,2,2,0,4,6,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaffee,1
745,Kaffee (entkoffeiniert),Kaffee (entkoffeiniert),,2,9,"0,1",0,"0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,3,1,33,4,3,37,1,0,7,41,0,12,1,31,0,3,1,9,5,2,32,17,4,2,2,0,5,1,0,3,3,1,1,0,2,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaffee entcoffeiniert,1
746,Kaffee mit Milch,Kaffee,,4,17,"0,3","0,1","0,4",0,0,0,"0,1",0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,"0,7",0,0,6,4,69,6,3,5,2,0,95,183,1,76,1,22,0,8,5,21,18,5,72,63,11,6,11,0,21,9,2,12,17,7,6,1,9,11,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaffee mit Milch,1
747,Kaffee mit Zucker,Kaffee,,9,38,"0,2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6",0,0,2,1,68,6,1,2,1,0,98,216,0,76,1,9,0,6,2,17,9,4,73,38,8,4,4,0,11,2,0,6,8,2,2,0,4,6,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaffee mit Zucker,1
748,Kaffeegebäck,Kaffeegebäck,,438,1832,"7,1","26,3","40,3",0,"1,2",0,"15,9","7,4","1,2","0,1",0,"0,2","0,2",0,"0,7",0,0,"0,1","0,1",0,0,0,"0,3","0,3",0,54,92,91,12,131,156,73,0,72,698,61,195,4,604,0,228,239,1,438,90,36,2080,196,204,348,0,677,369,147,357,840,369,259,93,309,372,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaffeegebäck,1
749,Kaffeesahne,Kaffeesahne,,217,908,"2,8","20,5","3,5",0,0,0,"12,3","6,5","0,7","0,1",0,"0,2","0,9",0,"0,5",0,0,"0,2",0,0,0,0,"0,1","0,4",0,99,69,133,12,42,83,26,0,23,135,10,4,11,316,0,86,87,27,213,23,17,568,58,71,152,0,282,199,59,128,263,149,120,38,134,176,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Kaffeesahne,,Milch & Milchprodukte,Milchprodukte,lexolino,No,,Kaffeesahne,1
750,Kaiserjagdwurst,Kaiserjagdwurst,,218,910,"15,7","16,4","0,2","0,2","0,1",0,"5,8","7,5",2,"0,1",0,0,"22,2",0,"0,3",0,"0,6","0,2","0,4",0,0,0,"2,5","0,5",0,9,1042,261,24,686,143,152,0,63,959,47,89,2,1497,0,898,1034,20,1488,184,18,2532,796,623,797,0,1143,1357,399,720,766,658,799,197,563,841,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaiserjagdwurst,1
751,Kakaobohne,Kakaobohne,,349,1461,20,"24,4",10,0,34,0,"14,6","8,1","0,7",0,0,0,0,0,"0,6",0,"0,1","0,4","0,1",0,0,0,"2,7","1,2",0,119,32,1882,389,16,695,212,0,3769,13625,112,3210,2,5670,0,721,1016,2438,1475,311,3902,2361,646,243,576,0,920,582,240,601,871,906,564,257,462,906,,,1,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kakaobohne,1
752,Kakaobutter,Kakaobutter,,915,3828,0,"98,1",0,0,0,0,"60,9","29,8","3,1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kakaobutter,1
753,Kakaopulver,Kakaopulver,,392,1641,"5,9","6,1","76,6",0,"6,5",,"3,5","2,2","0,2",0,,0,0,0,"0,2",0,"0,1",0,0,0,0,0,"0,5","0,4",,32,138,447,138,270,198,198,,1166,2304,92,1860,2,1729,,203,282,729,451,85,1267,784,189,70,149,,238,150,65,180,247,240,180,63,114,254,1,1,1,1,1,1,"0,5",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Kakaopulver,,Nüsse & Samen,Getränke & Sonstiges,lexolino,No,,Kakaopulver,1
754,Kaki,Kaki,,74,310,"0,6","0,3",17,"15,2","3,2",0,"0,1","0,1","0,1",0,0,"0,3","17,3",0,"0,8",0,0,0,"0,1",0,0,0,"0,2","0,2",0,8,17,160,8,4,27,16,0,122,370,14,341,1,120,0,34,25,27,68,14,32,79,26,14,29,0,48,34,6,30,22,26,35,12,18,35,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaki,1
755,Kakisaft,Kakisaft,,68,286,"0,6","0,2","15,6","14,3",0,0,"0,1",0,"0,1",0,0,"0,3","10,5",0,"0,9",0,0,0,0,0,0,0,"0,2","0,2",0,8,20,140,8,3,27,17,0,122,354,17,331,2,117,0,32,26,42,62,12,58,84,27,13,25,0,43,36,6,25,25,21,29,10,16,29,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaki Fruchtsaft,1
756,Kaki gegart,Kaki,,70,292,"0,6","0,3","15,9","16,5","2,9",0,"0,1","0,1","0,1",0,0,"0,3","9,9",0,1,0,0,0,0,0,0,0,"0,2","0,2",0,9,19,150,10,3,25,17,0,121,370,14,381,2,119,0,35,27,8,71,15,10,93,30,15,31,0,45,41,6,29,26,27,37,10,19,32,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaki gegart,1
757,Kaki (getrocknet),Kaki (getrocknet),,249,1042,"2,2","1,2","56,4","61,7","10,6",0,"0,3","0,2","0,5",0,0,1,50,0,"2,5",0,"0,1","0,1","0,1",0,0,0,"0,7","0,7",0,29,68,631,30,14,93,70,0,416,1475,62,1387,8,396,0,112,103,59,224,58,79,299,112,53,101,0,188,135,24,121,93,84,137,42,71,136,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Kaki getrocknet,1
